time_ms,adc_output_mv,smoothed_mv,is_r_peak
1382729,1843,1844.333,0
1382761,1846,1844.333,0
1382793,1844,1843.667,0
1382825,1841,1842.667,0
1382857,1843,1842.0,0
1382889,1842,1836.0,0
1382921,1823,1841.333,0
1382952,1859,1845.0,0
1382984,1853,1850.0,0
1383016,1838,1841.667,0
1383048,1834,1833.0,0
1383080,1827,1828.667,0
1383111,1825,1823.333,0
1383142,1818,1821.0,0
1383173,1820,1824.0,0
1383204,1834,1832.0,0
1383236,1842,1840.0,0
1383268,1844,1845.0,0
1383300,1849,1848.0,0
1383332,1851,1849.667,0
1383364,1849,1848.667,0
1383396,1846,1848.0,0
1383428,1849,1847.0,0
1383460,1846,1849.0,0
1383492,1852,1848.0,0
1383524,1846,1848.0,0
1383556,1846,1844.667,0
1383588,1842,1843.0,0
1383620,1841,1843.0,0
1383652,1846,1841.333,0
1383684,1837,1834.667,0
1383716,1821,1862.333,0
1383747,1929,1864.333,0
1383779,1843,1869.667,0
1383811,1837,1837.667,0
1383843,1833,1831.333,0
1383874,1824,1825.0,0
1383905,1818,1821.0,0
1383936,1821,1823.0,0
1383967,1830,1832.333,0
1383998,1846,1844.667,0
1384030,1858,1852.667,0
1384062,1854,1854.333,0
1384094,1851,1851.333,0
1384126,1849,1850.0,0
1384158,1850,1849.667,0
1384190,1850,1852.333,0
1384222,1857,1854.0,0
1384254,1855,1854.0,0
1384286,1850,1855.333,0
1384318,1861,1854.667,0
1384350,1853,1853.667,0
1384382,1847,1850.0,0
1384414,1850,1852.333,0
1384446,1860,1855.0,0
1384478,1855,1845.333,0
1384510,1821,1878.0,0
1384541,1958,1879.0,0
1384573,1858,1886.333,0
1384605,1843,1848.0,0
1384637,1843,1840.333,0
1384669,1835,1834.333,0
1384701,1825,1828.333,0
1384732,1825,1827.667,0
1384763,1833,1834.667,0
1384794,1846,1847.667,0
1384826,1864,1885.667,0
1384858,1947,1905.0,0
1384890,1904,1910.0,1
1384922,1879,1882.0,0
1384954,1863,1869.333,0
1384986,1866,1864.667,0
1385018,1865,1860.333,0
1385050,1850,1855.0,0
1385082,1850,1850.667,0
1385114,1852,1852.0,0
1385146,1854,1852.0,0
1385178,1850,1851.0,0
1385210,1849,1849.0,0
1385242,1848,1848.333,0
1385274,1848,1854.0,0
1385306,1866,1855.333,0
1385338,1852,1843.667,0
1385370,1813,1898.667,0
1385401,2031,1899.333,0
1385433,1854,1909.333,1
1385465,1843,1845.0,0
1385497,1838,1835.667,0
